Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Qty,Variant Price,Variant Compare At Price,Image Src,Status
brazil-2020-brazil-away-size-s-xxxl,2020 Brazil Away (Size S-XXXL),<p>Camiseta 2020 Brazil Away (Size S-XXXL) - Foltz Fanwear</p>,Foltz Fanwear,Camiseta,"brazil,liga:national-teams,tipo:away",TRUE,Size,S,BRAZIL--2020---S,16,82333.00,115266.00,,active
brazil-2020-brazil-away-size-s-xxxl,,,,,,,Size,M,BRAZIL--2020---M,18,82333.00,115266.00,,active
brazil-2020-brazil-away-size-s-xxxl,,,,,,,Size,L,BRAZIL--2020---L,28,82333.00,115266.00,,active
brazil-2020-brazil-away-size-s-xxxl,,,,,,,Size,XL,BRAZIL--2020---XL,18,82333.00,115266.00,,active
brazil-2020-brazil-away-size-s-xxxl,,,,,,,Size,XXL,BRAZIL--2020---XXL,24,82333.00,115266.00,,active
brazil-2020-brazil-home-size-s-xxxl,2020 Brazil Home (Size S-XXXL),<p>Camiseta 2020 Brazil Home (Size S-XXXL) - Foltz Fanwear</p>,Foltz Fanwear,Camiseta,"brazil,liga:national-teams,tipo:home",TRUE,Size,S,BRAZIL--2020---S,10,83305.00,116626.00,,active
brazil-2020-brazil-home-size-s-xxxl,,,,,,,Size,M,BRAZIL--2020---M,17,83305.00,116626.00,,active
brazil-2020-brazil-home-size-s-xxxl,,,,,,,Size,L,BRAZIL--2020---L,28,83305.00,116626.00,,active
brazil-2020-brazil-home-size-s-xxxl,,,,,,,Size,XL,BRAZIL--2020---XL,21,83305.00,116626.00,,active
brazil-2020-brazil-home-size-s-xxxl,,,,,,,Size,XXL,BRAZIL--2020---XXL,20,83305.00,116626.00,,active
brazil-2020-brazil-home-size-s-xxxl_1,2020 Brazil Home (Size S-XXXL)_1,<p>Camiseta 2020 Brazil Home (Size S-XXXL)_1 - Foltz Fanwear</p>,Foltz Fanwear,Camiseta,"brazil,liga:national-teams,tipo:home",TRUE,Size,S,BRAZIL--2020---S,16,94486.00,132280.00,,active
brazil-2020-brazil-home-size-s-xxxl_1,,,,,,,Size,M,BRAZIL--2020---M,29,94486.00,132280.00,,active
brazil-2020-brazil-home-size-s-xxxl_1,,,,,,,Size,L,BRAZIL--2020---L,26,94486.00,132280.00,,active
brazil-2020-brazil-home-size-s-xxxl_1,,,,,,,Size,XL,BRAZIL--2020---XL,13,94486.00,132280.00,,active
brazil-2020-brazil-home-size-s-xxxl_1,,,,,,,Size,XXL,BRAZIL--2020---XXL,26,94486.00,132280.00,,active
brazil-2021-brazil-pre-match-blue-size-s-xxl,2021 Brazil Pre-Match Blue (Size S-XXL),<p>Camiseta 2021 Brazil Pre-Match Blue (Size S-XXL) - Foltz Fanwear</p>,Foltz Fanwear,Camiseta,"brazil,liga:national-teams,tipo:pre-match",TRUE,Size,S,BRAZIL--2021---S,25,91418.00,127985.00,,active
brazil-2021-brazil-pre-match-blue-size-s-xxl,,,,,,,Size,M,BRAZIL--2021---M,15,91418.00,127985.00,,active
brazil-2021-brazil-pre-match-blue-size-s-xxl,,,,,,,Size,L,BRAZIL--2021---L,14,91418.00,127985.00,,active
brazil-2021-brazil-pre-match-blue-size-s-xxl,,,,,,,Size,XL,BRAZIL--2021---XL,27,91418.00,127985.00,,active
brazil-2021-brazil-pre-match-blue-size-s-xxl,,,,,,,Size,XXL,BRAZIL--2021---XXL,19,91418.00,127985.00,,active
brazil-2021-brazil-suit-blue-training-size-s-xxl,2021 Brazil Suit Blue Training (Size S-XXL),<p>Camiseta 2021 Brazil Suit Blue Training (Size S-XXL) - Foltz Fanwear</p>,Foltz Fanwear,Camiseta,"brazil,liga:national-teams,tipo:training",TRUE,Size,S,BRAZIL--2021---S,10,76832.00,107564.00,,active
brazil-2021-brazil-suit-blue-training-size-s-xxl,,,,,,,Size,M,BRAZIL--2021---M,12,76832.00,107564.00,,active
brazil-2021-brazil-suit-blue-training-size-s-xxl,,,,,,,Size,L,BRAZIL--2021---L,26,76832.00,107564.00,,active
brazil-2021-brazil-suit-blue-training-size-s-xxl,,,,,,,Size,XL,BRAZIL--2021---XL,29,76832.00,107564.00,,active
brazil-2021-brazil-suit-blue-training-size-s-xxl,,,,,,,Size,XXL,BRAZIL--2021---XXL,19,76832.00,107564.00,,active
brazil-brazil-04_06-away-size-s-xxl,Brazil 04_06 Away (Size S-XXL),<p>Camiseta Brazil 04_06 Away (Size S-XXL) - Foltz Fanwear</p>,Foltz Fanwear,Camiseta,"brazil,liga:national-teams,tipo:away,temporada:04-06",TRUE,Size,S,BRAZIL---0406--S,22,85930.00,120301.00,,active
brazil-brazil-04_06-away-size-s-xxl,,,,,,,Size,M,BRAZIL---0406--M,16,85930.00,120301.00,,active
brazil-brazil-04_06-away-size-s-xxl,,,,,,,Size,L,BRAZIL---0406--L,19,85930.00,120301.00,,active
brazil-brazil-04_06-away-size-s-xxl,,,,,,,Size,XL,BRAZIL---0406--XL,10,85930.00,120301.00,,active
brazil-brazil-04_06-away-size-s-xxl,,,,,,,Size,XXL,BRAZIL---0406--XXL,17,85930.00,120301.00,,active
brazil-brazil-12_13-home-size-s-xxl,Brazil 12_13 Home (Size S-XXL),<p>Camiseta Brazil 12_13 Home (Size S-XXL) - Foltz Fanwear</p>,Foltz Fanwear,Camiseta,"brazil,liga:national-teams,tipo:home,temporada:12-13",TRUE,Size,S,BRAZIL---1213--S,17,87361.00,122305.00,,active
brazil-brazil-12_13-home-size-s-xxl,,,,,,,Size,M,BRAZIL---1213--M,22,87361.00,122305.00,,active
brazil-brazil-12_13-home-size-s-xxl,,,,,,,Size,L,BRAZIL---1213--L,12,87361.00,122305.00,,active
brazil-brazil-12_13-home-size-s-xxl,,,,,,,Size,XL,BRAZIL---1213--XL,20,87361.00,122305.00,,active
brazil-brazil-12_13-home-size-s-xxl,,,,,,,Size,XXL,BRAZIL---1213--XXL,19,87361.00,122305.00,,active
brazil-brazil-1958-home-size-s-xxl,Brazil 1958 Home (Size S-XXL),<p>Camiseta Brazil 1958 Home (Size S-XXL) - Foltz Fanwear</p>,Foltz Fanwear,Camiseta,"brazil,liga:national-teams,tipo:home,temporada:retro",TRUE,Size,S,BRAZIL---1958--S,21,108420.00,151788.00,,active
brazil-brazil-1958-home-size-s-xxl,,,,,,,Size,M,BRAZIL---1958--M,22,108420.00,151788.00,,active
brazil-brazil-1958-home-size-s-xxl,,,,,,,Size,L,BRAZIL---1958--L,27,108420.00,151788.00,,active
brazil-brazil-1958-home-size-s-xxl,,,,,,,Size,XL,BRAZIL---1958--XL,15,108420.00,151788.00,,active
brazil-brazil-1958-home-size-s-xxl,,,,,,,Size,XXL,BRAZIL---1958--XXL,10,108420.00,151788.00,,active
brazil-brazil-1958-home-size-s-xxl_1,Brazil 1958 Home (Size S-XXL)_1,<p>Camiseta Brazil 1958 Home (Size S-XXL)_1 - Foltz Fanwear</p>,Foltz Fanwear,Camiseta,"brazil,liga:national-teams,tipo:home,temporada:retro",TRUE,Size,S,BRAZIL---1958--S,25,105475.00,147665.00,,active
brazil-brazil-1958-home-size-s-xxl_1,,,,,,,Size,M,BRAZIL---1958--M,27,105475.00,147665.00,,active
brazil-brazil-1958-home-size-s-xxl_1,,,,,,,Size,L,BRAZIL---1958--L,16,105475.00,147665.00,,active
brazil-brazil-1958-home-size-s-xxl_1,,,,,,,Size,XL,BRAZIL---1958--XL,17,105475.00,147665.00,,active
brazil-brazil-1958-home-size-s-xxl_1,,,,,,,Size,XXL,BRAZIL---1958--XXL,12,105475.00,147665.00,,active
brazil-brazil-1971-home-size-s-xxl,Brazil 1971 Home (Size S-XXL),<p>Camiseta Brazil 1971 Home (Size S-XXL) - Foltz Fanwear</p>,Foltz Fanwear,Camiseta,"brazil,liga:national-teams,tipo:home,temporada:retro",TRUE,Size,S,BRAZIL---1971--S,18,112907.00,158069.00,,active
brazil-brazil-1971-home-size-s-xxl,,,,,,,Size,M,BRAZIL---1971--M,17,112907.00,158069.00,,active
brazil-brazil-1971-home-size-s-xxl,,,,,,,Size,L,BRAZIL---1971--L,27,112907.00,158069.00,,active
brazil-brazil-1971-home-size-s-xxl,,,,,,,Size,XL,BRAZIL---1971--XL,18,112907.00,158069.00,,active
brazil-brazil-1971-home-size-s-xxl,,,,,,,Size,XXL,BRAZIL---1971--XXL,20,112907.00,158069.00,,active
brazil-brazil-1992-away-size-s-xxl,Brazil 1992 Away (Size S-XXL),<p>Camiseta Brazil 1992 Away (Size S-XXL) - Foltz Fanwear</p>,Foltz Fanwear,Camiseta,"brazil,liga:national-teams,tipo:away,temporada:retro",TRUE,Size,S,BRAZIL---1992--S,22,113509.00,158912.00,,active
brazil-brazil-1992-away-size-s-xxl,,,,,,,Size,M,BRAZIL---1992--M,14,113509.00,158912.00,,active
brazil-brazil-1992-away-size-s-xxl,,,,,,,Size,L,BRAZIL---1992--L,24,113509.00,158912.00,,active
brazil-brazil-1992-away-size-s-xxl,,,,,,,Size,XL,BRAZIL---1992--XL,27,113509.00,158912.00,,active
brazil-brazil-1992-away-size-s-xxl,,,,,,,Size,XXL,BRAZIL---1992--XXL,20,113509.00,158912.00,,active
brazil-brazil-1997-home-size-s-xxl,Brazil 1997 Home (Size S-XXL),<p>Camiseta Brazil 1997 Home (Size S-XXL) - Foltz Fanwear</p>,Foltz Fanwear,Camiseta,"brazil,liga:national-teams,tipo:home,temporada:retro",TRUE,Size,S,BRAZIL---1997--S,29,112944.00,158121.00,,active
brazil-brazil-1997-home-size-s-xxl,,,,,,,Size,M,BRAZIL---1997--M,21,112944.00,158121.00,,active
brazil-brazil-1997-home-size-s-xxl,,,,,,,Size,L,BRAZIL---1997--L,28,112944.00,158121.00,,active
brazil-brazil-1997-home-size-s-xxl,,,,,,,Size,XL,BRAZIL---1997--XL,26,112944.00,158121.00,,active
brazil-brazil-1997-home-size-s-xxl,,,,,,,Size,XXL,BRAZIL---1997--XXL,18,112944.00,158121.00,,active
brazil-brazil-1998-away-long-sleeve-size-s-xxl,Brazil 1998 Away Long Sleeve (Size S-XXL),<p>Camiseta Brazil 1998 Away Long Sleeve (Size S-XXL) - Foltz Fanwear</p>,Foltz Fanwear,Camiseta,"brazil,liga:national-teams,tipo:away,tipo:manga-longa,temporada:retro",TRUE,Size,S,BRAZIL---1998--S,13,102291.00,143207.00,,active
brazil-brazil-1998-away-long-sleeve-size-s-xxl,,,,,,,Size,M,BRAZIL---1998--M,28,102291.00,143207.00,,active
brazil-brazil-1998-away-long-sleeve-size-s-xxl,,,,,,,Size,L,BRAZIL---1998--L,29,102291.00,143207.00,,active
brazil-brazil-1998-away-long-sleeve-size-s-xxl,,,,,,,Size,XL,BRAZIL---1998--XL,20,102291.00,143207.00,,active
brazil-brazil-1998-away-long-sleeve-size-s-xxl,,,,,,,Size,XXL,BRAZIL---1998--XXL,13,102291.00,143207.00,,active
brazil-brazil-1998-dark-green-goalkeeper-size-s-xxl,Brazil 1998 Dark Green Goalkeeper (Size S-XXL),<p>Camiseta Brazil 1998 Dark Green Goalkeeper (Size S-XXL) - Foltz Fanwear</p>,Foltz Fanwear,Camiseta,"brazil,liga:national-teams,tipo:goalkeeper,temporada:retro",TRUE,Size,S,BRAZIL---1998--S,13,109662.00,153526.00,,active
brazil-brazil-1998-dark-green-goalkeeper-size-s-xxl,,,,,,,Size,M,BRAZIL---1998--M,28,109662.00,153526.00,,active
brazil-brazil-1998-dark-green-goalkeeper-size-s-xxl,,,,,,,Size,L,BRAZIL---1998--L,11,109662.00,153526.00,,active
brazil-brazil-1998-dark-green-goalkeeper-size-s-xxl,,,,,,,Size,XL,BRAZIL---1998--XL,11,109662.00,153526.00,,active
brazil-brazil-1998-dark-green-goalkeeper-size-s-xxl,,,,,,,Size,XXL,BRAZIL---1998--XXL,20,109662.00,153526.00,,active
brazil-brazil-1998-home-size-s-xxl,Brazil 1998 Home (Size S-XXL),<p>Camiseta Brazil 1998 Home (Size S-XXL) - Foltz Fanwear</p>,Foltz Fanwear,Camiseta,"brazil,liga:national-teams,tipo:home,temporada:retro",TRUE,Size,S,BRAZIL---1998--S,13,101018.00,141425.00,,active
brazil-brazil-1998-home-size-s-xxl,,,,,,,Size,M,BRAZIL---1998--M,12,101018.00,141425.00,,active
brazil-brazil-1998-home-size-s-xxl,,,,,,,Size,L,BRAZIL---1998--L,16,101018.00,141425.00,,active
brazil-brazil-1998-home-size-s-xxl,,,,,,,Size,XL,BRAZIL---1998--XL,21,101018.00,141425.00,,active
brazil-brazil-1998-home-size-s-xxl,,,,,,,Size,XXL,BRAZIL---1998--XXL,19,101018.00,141425.00,,active
brazil-brazil-1998-home-long-sleeve-size-s-xxl,Brazil 1998 Home Long Sleeve (Size S-XXL),<p>Camiseta Brazil 1998 Home Long Sleeve (Size S-XXL) - Foltz Fanwear</p>,Foltz Fanwear,Camiseta,"brazil,liga:national-teams,tipo:home,tipo:manga-longa,temporada:retro",TRUE,Size,S,BRAZIL---1998--S,20,99994.00,139991.00,,active
brazil-brazil-1998-home-long-sleeve-size-s-xxl,,,,,,,Size,M,BRAZIL---1998--M,25,99994.00,139991.00,,active
brazil-brazil-1998-home-long-sleeve-size-s-xxl,,,,,,,Size,L,BRAZIL---1998--L,28,99994.00,139991.00,,active
brazil-brazil-1998-home-long-sleeve-size-s-xxl,,,,,,,Size,XL,BRAZIL---1998--XL,23,99994.00,139991.00,,active
brazil-brazil-1998-home-long-sleeve-size-s-xxl,,,,,,,Size,XXL,BRAZIL---1998--XXL,21,99994.00,139991.00,,active
brazil-brazil-2002-away-long-sleeve-size-s-xxl,Brazil 2002 Away Long Sleeve (Size S-XXL),<p>Camiseta Brazil 2002 Away Long Sleeve (Size S-XXL) - Foltz Fanwear</p>,Foltz Fanwear,Camiseta,"brazil,liga:national-teams,tipo:away,tipo:manga-longa,temporada:retro",TRUE,Size,S,BRAZIL---2002--S,22,96118.00,134565.00,,active
brazil-brazil-2002-away-long-sleeve-size-s-xxl,,,,,,,Size,M,BRAZIL---2002--M,15,96118.00,134565.00,,active
brazil-brazil-2002-away-long-sleeve-size-s-xxl,,,,,,,Size,L,BRAZIL---2002--L,10,96118.00,134565.00,,active
brazil-brazil-2002-away-long-sleeve-size-s-xxl,,,,,,,Size,XL,BRAZIL---2002--XL,12,96118.00,134565.00,,active
brazil-brazil-2002-away-long-sleeve-size-s-xxl,,,,,,,Size,XXL,BRAZIL---2002--XXL,23,96118.00,134565.00,,active
brazil-brazil-2002-black-goalkeeper-size-s-xxl,Brazil 2002 Black Goalkeeper (Size S-XXL),<p>Camiseta Brazil 2002 Black Goalkeeper (Size S-XXL) - Foltz Fanwear</p>,Foltz Fanwear,Camiseta,"brazil,liga:national-teams,tipo:goalkeeper,temporada:retro",TRUE,Size,S,BRAZIL---2002--S,11,86444.00,121021.00,,active
brazil-brazil-2002-black-goalkeeper-size-s-xxl,,,,,,,Size,M,BRAZIL---2002--M,24,86444.00,121021.00,,active
brazil-brazil-2002-black-goalkeeper-size-s-xxl,,,,,,,Size,L,BRAZIL---2002--L,21,86444.00,121021.00,,active
brazil-brazil-2002-black-goalkeeper-size-s-xxl,,,,,,,Size,XL,BRAZIL---2002--XL,13,86444.00,121021.00,,active
brazil-brazil-2002-black-goalkeeper-size-s-xxl,,,,,,,Size,XXL,BRAZIL---2002--XXL,16,86444.00,121021.00,,active
brazil-brazil-2002-home-long-sleeve-size-s-xxl,Brazil 2002 Home Long Sleeve (Size S-XXL),<p>Camiseta Brazil 2002 Home Long Sleeve (Size S-XXL) - Foltz Fanwear</p>,Foltz Fanwear,Camiseta,"brazil,liga:national-teams,tipo:home,tipo:manga-longa,temporada:retro",TRUE,Size,S,BRAZIL---2002--S,23,86358.00,120901.00,,active
brazil-brazil-2002-home-long-sleeve-size-s-xxl,,,,,,,Size,M,BRAZIL---2002--M,18,86358.00,120901.00,,active
brazil-brazil-2002-home-long-sleeve-size-s-xxl,,,,,,,Size,L,BRAZIL---2002--L,11,86358.00,120901.00,,active
brazil-brazil-2002-home-long-sleeve-size-s-xxl,,,,,,,Size,XL,BRAZIL---2002--XL,11,86358.00,120901.00,,active
brazil-brazil-2002-home-long-sleeve-size-s-xxl,,,,,,,Size,XXL,BRAZIL---2002--XXL,28,86358.00,120901.00,,active
brazil-brazil-2006-home-size-s-xxl,Brazil 2006 Home (Size S-XXL),<p>Camiseta Brazil 2006 Home (Size S-XXL) - Foltz Fanwear</p>,Foltz Fanwear,Camiseta,"brazil,liga:national-teams,tipo:home,temporada:retro",TRUE,Size,S,BRAZIL---2006--S,25,87865.00,123010.00,,active
brazil-brazil-2006-home-size-s-xxl,,,,,,,Size,M,BRAZIL---2006--M,14,87865.00,123010.00,,active
brazil-brazil-2006-home-size-s-xxl,,,,,,,Size,L,BRAZIL---2006--L,27,87865.00,123010.00,,active
brazil-brazil-2006-home-size-s-xxl,,,,,,,Size,XL,BRAZIL---2006--XL,28,87865.00,123010.00,,active
brazil-brazil-2006-home-size-s-xxl,,,,,,,Size,XXL,BRAZIL---2006--XXL,18,87865.00,123010.00,,active
brazil-brazil-2006-home-long-sleeve-size-s-xxl,Brazil 2006 Home Long Sleeve (Size S-XXL),<p>Camiseta Brazil 2006 Home Long Sleeve (Size S-XXL) - Foltz Fanwear</p>,Foltz Fanwear,Camiseta,"brazil,liga:national-teams,tipo:home,tipo:manga-longa,temporada:retro",TRUE,Size,S,BRAZIL---2006--S,10,89259.00,124962.00,,active
brazil-brazil-2006-home-long-sleeve-size-s-xxl,,,,,,,Size,M,BRAZIL---2006--M,17,89259.00,124962.00,,active
brazil-brazil-2006-home-long-sleeve-size-s-xxl,,,,,,,Size,L,BRAZIL---2006--L,16,89259.00,124962.00,,active
brazil-brazil-2006-home-long-sleeve-size-s-xxl,,,,,,,Size,XL,BRAZIL---2006--XL,22,89259.00,124962.00,,active
brazil-brazil-2006-home-long-sleeve-size-s-xxl,,,,,,,Size,XXL,BRAZIL---2006--XXL,17,89259.00,124962.00,,active
brazil-brazil-2014-away,Brazil 2014 Away,<p>Camiseta Brazil 2014 Away - Foltz Fanwear</p>,Foltz Fanwear,Camiseta,"brazil,liga:national-teams,tipo:away,temporada:retro",TRUE,Size,S,BRAZIL---2014--S,11,93128.00,130379.00,,active
brazil-brazil-2014-away,,,,,,,Size,M,BRAZIL---2014--M,26,93128.00,130379.00,,active
brazil-brazil-2014-away,,,,,,,Size,L,BRAZIL---2014--L,25,93128.00,130379.00,,active
brazil-brazil-2014-away,,,,,,,Size,XL,BRAZIL---2014--XL,24,93128.00,130379.00,,active
brazil-brazil-2014-away,,,,,,,Size,XXL,BRAZIL---2014--XXL,29,93128.00,130379.00,,active
brazil-brazil-2014-home-size-s-xxl,Brazil 2014 Home (Size S-XXL),<p>Camiseta Brazil 2014 Home (Size S-XXL) - Foltz Fanwear</p>,Foltz Fanwear,Camiseta,"brazil,liga:national-teams,tipo:home,temporada:retro",TRUE,Size,S,BRAZIL---2014--S,25,85203.00,119284.00,,active
brazil-brazil-2014-home-size-s-xxl,,,,,,,Size,M,BRAZIL---2014--M,10,85203.00,119284.00,,active
brazil-brazil-2014-home-size-s-xxl,,,,,,,Size,L,BRAZIL---2014--L,10,85203.00,119284.00,,active
brazil-brazil-2014-home-size-s-xxl,,,,,,,Size,XL,BRAZIL---2014--XL,13,85203.00,119284.00,,active
brazil-brazil-2014-home-size-s-xxl,,,,,,,Size,XXL,BRAZIL---2014--XXL,23,85203.00,119284.00,,active
brazil-brazil-2020-suit-green-training-size-s-xxl,Brazil 2020 Suit Green Training (Size S-XXL),<p>Camiseta Brazil 2020 Suit Green Training (Size S-XXL) - Foltz Fanwear</p>,Foltz Fanwear,Camiseta,"brazil,liga:national-teams,tipo:training",TRUE,Size,S,BRAZIL---2020--S,12,76850.00,107590.00,,active
brazil-brazil-2020-suit-green-training-size-s-xxl,,,,,,,Size,M,BRAZIL---2020--M,14,76850.00,107590.00,,active
brazil-brazil-2020-suit-green-training-size-s-xxl,,,,,,,Size,L,BRAZIL---2020--L,19,76850.00,107590.00,,active
brazil-brazil-2020-suit-green-training-size-s-xxl,,,,,,,Size,XL,BRAZIL---2020--XL,13,76850.00,107590.00,,active
brazil-brazil-2020-suit-green-training-size-s-xxl,,,,,,,Size,XXL,BRAZIL---2020--XXL,17,76850.00,107590.00,,active
brazil-brazil-57_62-away-size-s-xxl,Brazil 57_62 Away (Size S-XXL),<p>Camiseta Brazil 57_62 Away (Size S-XXL) - Foltz Fanwear</p>,Foltz Fanwear,Camiseta,"brazil,liga:national-teams,tipo:away,temporada:57-62",TRUE,Size,S,BRAZIL---5762--S,26,87440.00,122415.00,,active
brazil-brazil-57_62-away-size-s-xxl,,,,,,,Size,M,BRAZIL---5762--M,20,87440.00,122415.00,,active
brazil-brazil-57_62-away-size-s-xxl,,,,,,,Size,L,BRAZIL---5762--L,18,87440.00,122415.00,,active
brazil-brazil-57_62-away-size-s-xxl,,,,,,,Size,XL,BRAZIL---5762--XL,21,87440.00,122415.00,,active
brazil-brazil-57_62-away-size-s-xxl,,,,,,,Size,XXL,BRAZIL---5762--XXL,24,87440.00,122415.00,,active
brazil-brazil-91_93-home-size-s-xxl,Brazil 91_93 Home (Size S-XXL),<p>Camiseta Brazil 91_93 Home (Size S-XXL) - Foltz Fanwear</p>,Foltz Fanwear,Camiseta,"brazil,liga:national-teams,tipo:home,temporada:91-93",TRUE,Size,S,BRAZIL---9193--S,10,92741.00,129837.00,,active
brazil-brazil-91_93-home-size-s-xxl,,,,,,,Size,M,BRAZIL---9193--M,28,92741.00,129837.00,,active
brazil-brazil-91_93-home-size-s-xxl,,,,,,,Size,L,BRAZIL---9193--L,26,92741.00,129837.00,,active
brazil-brazil-91_93-home-size-s-xxl,,,,,,,Size,XL,BRAZIL---9193--XL,18,92741.00,129837.00,,active
brazil-brazil-91_93-home-size-s-xxl,,,,,,,Size,XXL,BRAZIL---9193--XXL,14,92741.00,129837.00,,active
brazil-brazil-93_94-home-size-s-xxl,Brazil 93_94 Home (Size S-XXL),<p>Camiseta Brazil 93_94 Home (Size S-XXL) - Foltz Fanwear</p>,Foltz Fanwear,Camiseta,"brazil,liga:national-teams,tipo:home,temporada:93-94",TRUE,Size,S,BRAZIL---9394--S,29,80467.00,112653.00,,active
brazil-brazil-93_94-home-size-s-xxl,,,,,,,Size,M,BRAZIL---9394--M,20,80467.00,112653.00,,active
brazil-brazil-93_94-home-size-s-xxl,,,,,,,Size,L,BRAZIL---9394--L,28,80467.00,112653.00,,active
brazil-brazil-93_94-home-size-s-xxl,,,,,,,Size,XL,BRAZIL---9394--XL,14,80467.00,112653.00,,active
brazil-brazil-93_94-home-size-s-xxl,,,,,,,Size,XXL,BRAZIL---9394--XXL,25,80467.00,112653.00,,active
